station_id,bay,horizon,depth_m,temp_c,salinity_psu,oxygen_mgl,ph,latitude,longitude,time,date
02,Амурский залив,0,1.8,15.4,22.03,9.8,8.37,43.2347,131.8175,16:54:01,5/21/2025
02,Амурский залив,дно,9.3,6.2,33.02,9.2,8.30,43.2347,131.8175,16:54:01,5/21/2025
03,Амурский залив,0,2.2,14.2,24.87,9.5,8.38,43.2347,131.8836,6:22:29,5/21/2025
03,Амурский залив,дно,8.3,8.2,32.81,9.9,8.33,43.2347,131.8836,6:22:29,5/21/2025
06,Уссурийский залив,0,2.0,14.6,30.50,8.9,8.34,43.24167,132.27917,17:02:19,5/26/2025
06,Уссурийский залив,дно,11.9,9.4,32.85,9.4,8.37,43.24167,132.27917,17:02:19,5/26/2025
08,Амурский залив,0,2.1,14.3,26.59,8.9,8.18,43.2,131.78333,17:30:37,5/21/2025
08,Амурский залив,дно,15.5,5.2,33.30,8.1,8.18,43.2,131.78333,17:30:37,5/21/2025
10,Амурский залив,0,1.8,13.1,27.87,9.4,8.23,43.18333,131.88333,15:21:50,5/21/2025
10,Амурский залив,дно,12.1,8.1,32.65,9.6,8.31,43.18333,131.88333,15:21:50,5/21/2025
11,Уссурийский залив,0,2.6,12.0,32.06,9.4,8.34,43.2,132.17917,15:37:30,5/26/2025
11,Уссурийский залив,дно,12.0,8.5,32.97,9.4,8.33,43.2,132.17917,15:37:30,5/26/2025
12,Уссурийский залив,0,2.4,13.5,31.78,9.3,8.35,43.2,132.245,14:51:47,5/26/2025
12,Уссурийский залив,10,10.9,11.2,32.42,9.8,8.35,43.2,132.245,14:51:47,5/26/2025
12,Уссурийский залив,дно,22.5,6.2,33.32,9.9,8.35,43.2,132.245,14:51:47,5/26/2025
13,Уссурийский залив,0,2.0,14.1,31.42,9.1,8.33,43.2,132.3167,14:12:30,5/26/2025
13,Уссурийский залив,дно,12.8,8.7,33.01,9.5,8.38,43.2,132.3167,14:12:30,5/26/2025
